date,title,url,publication,description,tags
12/28/14,Analysis from SSL/TLS Connections through GCHQ in the flying pig database,http://www.spiegel.de/media/media-35512.pdf,Der Spiegel,rawfile,
12/28/14,NSA High Level Description on TURMOIL / APEX Programs on Attacking VPN,http://www.spiegel.de/media/media-35513.pdf,Der Spiegel,rawfile,
12/28/14,Explanation of the GALLANTWAVE that decrypts VPN Traffic within LONGHAUL,http://www.spiegel.de/media/media-35514.pdf,Der Spiegel,rawfile,
12/28/14,"Intro to the VPN Exploitation Process mentioning the protocols attacked - PPTP, IPSEC, SSL, SSH)",http://www.spiegel.de/media/media-35515.pdf,Der Spiegel,rawfile,
12/28/14,Analytic Challenges from Active-Passive Integration when NSA attacks IPSEC VPNs,http://www.spiegel.de/media/media-35516.pdf,Der Spiegel,rawfile,
12/28/14,Overview of the capabilities of the VALIANTSURF program,http://www.spiegel.de/media/media-35517.pdf,Der Spiegel,rawfile,
12/28/14,MALIBU Architecture Overview to exploit VPN Communication,http://www.spiegel.de/media/media-35518.pdf,Der Spiegel,rawfile,
12/28/14,POISENNUT Virtual Private Network Attack Orchestrator (VAO),http://www.spiegel.de/media/media-35519.pdf,Der Spiegel,rawfile,
12/28/14,NSA Presentation on the development of Attacks on VPN,http://www.spiegel.de/media/media-35520.pdf,Der Spiegel,rawfile,
12/28/14,NSA Presentation on the Analysis and Contextualisation of data from VPN,http://www.spiegel.de/media/media-35521.pdf,Der Spiegel,rawfile,
12/28/14,Description of existing projects on VPN decryption,http://www.spiegel.de/media/media-35522.pdf,Der Spiegel,rawfile,
12/28/14,Explanation of the Transform Engine Emulator when attacking VPN,http://www.spiegel.de/media/media-35523.pdf,Der Spiegel,rawfile,
12/28/14,Explanation of the POISENNUT Product and its role when attacking VPN,http://www.spiegel.de/media/media-35524.pdf,Der Spiegel,rawfile,
12/28/14,Explanation of the TURMOIL GALLANTWAVE Program and its role when attacking VPN,http://www.spiegel.de/media/media-35525.pdf,Der Spiegel,rawfile,
12/28/14,Processing of data from exploited VPN in the TURMOIL program,http://www.spiegel.de/media/media-35526.pdf,Der Spiegel,rawfile,
12/28/14,Decryption of VPN Connections within the VALIANTSURF program,http://www.spiegel.de/media/media-35527.pdf,Der Spiegel,rawfile,
12/28/14,Description on the processing of VPN data packets within the TURMOIL program,http://www.spiegel.de/media/media-35528.pdf,Der Spiegel,rawfile,
12/28/14,Explanation on the SPIN9 program on end-to-end attacks on VPN,http://www.spiegel.de/media/media-35529.pdf,Der Spiegel,rawfile,
12/28/14,Explanation of a potential technique to deanonymise users of the TOR network,http://www.spiegel.de/media/media-35538.pdf,Der Spiegel,rawfile,
12/28/14,Analytics on security of TOR hidden services,http://www.spiegel.de/media/media-35539.pdf,Der Spiegel,rawfile,
12/28/14,Overview on Internet Anonymization Services on how they work,http://www.spiegel.de/media/media-35540.pdf,Der Spiegel,rawfile,
12/28/14,TOR deanonymisation research,http://www.spiegel.de/media/media-35541.pdf,Der Spiegel,rawfile,
12/28/14,TOR Overview of Existing Techniques,http://www.spiegel.de/media/media-35542.pdf,Der Spiegel,rawfile,
12/28/14,A potential technique to deanonymise users of the TOR network,http://www.spiegel.de/media/media-35543.pdf,Der Spiegel,rawfile,
12/28/14,General Description how NSA handles encrypted traffic,http://www.spiegel.de/media/media-35544.pdf,Der Spiegel,rawfile,
12/28/14,Intercept with PGP encrypted message,http://www.spiegel.de/media/media-35545.pdf,Der Spiegel,rawfile,
12/28/14,Classification Guide for Cryptanalysis,http://www.spiegel.de/media/media-35546.pdf,Der Spiegel,rawfile,
12/28/14,Procedural GCHQ Document on how analysts are to handle encrypted traffic,http://www.spiegel.de/media/media-35547.pdf,Der Spiegel,rawfile,
12/28/14,NSA / GCHQ Crypt Discovery Joint Collaboration Activity,http://www.spiegel.de/media/media-35548.pdf,Der Spiegel,rawfile,
12/28/14,NSA Cryptographic Modernization (CryptoMod) Classification Guide,http://www.spiegel.de/media/media-35549.pdf,Der Spiegel,rawfile,
12/28/14,"National Information Assurance Research Laboratory (NIARL): Newsletter, Keyword TUNDRA",http://www.spiegel.de/media/media-35550.pdf,Der Spiegel,rawfile,
12/28/14,What Your Mother Never Told You About the development of Signal Intelligence,http://www.spiegel.de/media/media-35551.pdf,Der Spiegel,rawfile,
12/28/14,Intercept with OTR encrypted chat,http://www.spiegel.de/media/media-35552.pdf,Der Spiegel,rawfile,
12/28/14,Obama's Lists: A Dubious History of Targeted Killings in Afghanistan,http://www.spiegel.de/international/world/secret-docs-reveal-dubious-details-of-targeted-killings-in-afghanistan-a-1010358.html,Der Spiegel,"Combat operations in Afghanistan may be coming to an end, but a look at secret NATO documents reveals that the US and the UK were far less scrupulous in choosing targets for killing than previously believed. Drug dealers were also on the lists.","Taliban, Nato, Barack Obama, International, World, NSA Spying Scandal, Afghanistan, Afghanistan War, National Security Agency"
12/28/14,US Document from 2009: Including the Drug Trade in the War Against the Taliban,http://www.spiegel.de/media/media-35506.pdf,Der Spiegel,rawfile,
12/28/14,Report about Operation Doody: The Child of the Neighbor Shot By Accident,http://www.spiegel.de/media/media-35507.pdf,Der Spiegel,rawfile,
12/28/14,The JPEL List in Anonymized Form,http://www.spiegel.de/media/media-35508.pdf,Der Spiegel,rawfile,
12/28/14,Take-Down Operation; U.S. SIGINT Provides Key Support,http://www.spiegel.de/media/media-35553.pdf,Der Spiegel,rawfile,
12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.,
12/13/14,Automated NOC detection,https://firstlook.org/theintercept/document/2014/12/13/gchq-automated-noc-detection-2011,Intercept,rawfile,
12/13/14,Mobile Networks in My NOC World,https://firstlook.org/theintercept/document/2014/12/13/gchq-mobile-networks-noc-world,Intercept,rawfile,
12/13/14,Making network sense of the encryption problem,https://firstlook.org/theintercept/document/2014/12/13/gchq-making-network-sense-encryption-problem-2011,Intercept,rawfile,
12/13/14,Stargate CNE requirements,https://firstlook.org/theintercept/document/2014/12/13/gchq-stargate-cne-requirements,Intercept,rawfile,
12/13/14,NAC review - October to December 2011,https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-review-october-december-2011,Intercept,rawfile,
12/13/14,GCHQ NAC review - January to March 2011,https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-business-review-january-march-2011,Intercept,rawfile,
12/13/14,GCHQ NAC review - April to June 2011,https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-review-april-june-2011,Intercept,rawfile,
12/13/14,GCHQ NAC review - July to September 2011,https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-review-july-september-2011,Intercept,rawfile,
12/13/14,GCHQ NAC review - January to March 2012,https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-review-january-march-2012,Intercept,rawfile,
12/13/14,GCHQ Hopscotch,https://firstlook.org/theintercept/document/2014/12/13/hopscotch,Intercept,rawfile,
12/13/14,Belgacom connections,https://firstlook.org/theintercept/document/2014/12/13/gchq-belgacom-connections,Intercept,rawfile,
12/4/14,AURORAGOLD - Project Overview,https://firstlook.org/theintercept/document/2014/12/04/auroragold-project-overview,Intercept,rawfile,
12/4/14,AURORAGOLD Working Group,https://firstlook.org/theintercept/document/2014/12/04/auroragold-working-group/,Intercept,rawfile,
12/4/14,IR.21 - A Technology Warning Mechanism,https://firstlook.org/theintercept/document/2014/12/04/ir-21-technology-warning-mechanism,Intercept,rawfile,
12/4/14,AURORAGOLD - Target Technology Trends Center support to WPMO,https://firstlook.org/theintercept/document/2014/12/04/auroragold-target-technology-trends-center-support-wpmo,Intercept,rawfile,
12/4/14,NSA First-Ever Collect of High-Interest 4G Cellular Signal,https://firstlook.org/theintercept/document/2014/12/04/first-ever-collect-high-interest-4g-cellular-signal,Intercept,rawfile,
12/4/14,AURORAGOLD Working Aid,https://firstlook.org/theintercept/document/2014/12/04/auroragold-working-aid,Intercept,rawfile,
12/4/14,WOLFRAMITE Encryption Attack,https://firstlook.org/theintercept/document/2014/12/04/wolframite-encryption-attack,Intercept,rawfile,
12/4/14,OPULENT PUP Encryption Attack,https://firstlook.org/theintercept/document/2014/12/04/opulent-pup-encryption-attack,Intercept,rawfile,
12/4/14,NSA/GCHQ/CSEC Network Tradecraft Advancement Team,https://firstlook.org/theintercept/document/2014/12/04/nsa-gchq-csec-network-tradecraft-advancement-team,Intercept,rawfile,
12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.,
11/20/14,Vodafone-Linked Company Aided British Mass Surveillance,https://firstlook.org/theintercept/2014/11/20/vodafone-surveillance-gchq-snowden/,Intercept,"They flow deep underneath the Atlantic Ocean and into the United Kingdom below the golden sands of idyllic beaches. But the internet cables that come ashore at the coast of Cornwall, England, are not just used to connect the country with the rest of the world. According to new reports based on documents from National Security>>",
11/20/14,Special Source Operations (SSO) Weekly Brief 25.04.2013 - Windstop System Highlights,https://netzpolitik.org/wp-upload/2014-11-Snowden-Gerontic/25_apr_2013_sso_weekly_brief.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Mastering the Internet (MTI) Access Project 27.06.2008 - Weekly Status,https://netzpolitik.org/wp-upload/2014-11-Snowden-Gerontic/27_June_08_redacted.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Mastering the Internet (MTI) Access Project 28.11.2008 - Weekly Status,https://netzpolitik.org/wp-upload/2014-11-Snowden-Gerontic/28_November_08_redacted.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Mastering the Internet (MTI) Access Project 06.02.2009 - Weekly Status,https://netzpolitik.org/wp-upload/2014-11-Snowden-Gerontic/6_February_09_redacted.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Computer Network Exploitation (CNE) EndPoint Project Load - Pfenning,https://netzpolitik.org/wp-upload/2014-11-Snowden-Gerontic/CNE_PFENNING_ALPHA_redacted.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Cable Master List: Flag EA,https://netzpolitik.org/wp-upload/2014-11-Snowden-Gerontic/FEA_cable_list.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,PTC Glossary: INCENSER,https://netzpolitik.org/wp-upload/2014-11-Snowden-Gerontic/PTC_Glossary_redacted.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Access Breakdown,https://netzpolitik.org/wp-upload/2014-11-Snowden-Cable-Master-List/access_breakdown.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Cable Master List - Data,https://netzpolitik.org/wp-upload/2014-11-Snowden-Cable-Master-List/data.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Cables we do not currently have good access,https://netzpolitik.org/wp-upload/2014-11-Snowden-Cable-Master-List/no_current_access.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Partner Cables,https://netzpolitik.org/wp-upload/2014-11-Snowden-Cable-Master-List/partner_cables.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Regions,https://netzpolitik.org/wp-upload/2014-11-Snowden-Cable-Master-List/regions.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Where we are,https://netzpolitik.org/wp-upload/2014-11-Snowden-Cable-Master-List/WHERE_WE_ARE.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,Where we want to be,https://netzpolitik.org/wp-upload/2014-11-Snowden-Cable-Master-List/WHERE_WE_WANT_TO_BE.pdf,Suddeutsche Zeitung,rawfile,
11/20/14,How Vodafone-Subsidiary Cable & Wireless Aided GCHQ's Spying Efforts,http://international.sueddeutsche.de/post/103543418200/snowden-leaks-how-vodafone-subsidiary-cable,Suddeutsche Zeitung,"By Frederik Obermaier, Henrik Moltke, Laura Poitras and Jan Strozyk
Previously unpublished documents show how the UK telecom firm Cable & Wireless, acquired by Vodafone in 2012, played a key role in...",
10/10/14,Core Secrets: NSA Saboteurs in China and Germany,https://firstlook.org/theintercept/2014/10/10/core-secrets/,Intercept," NSA agents use “physical subversion” to infiltrate networks and devices, documents show.",
10/10/14,Sentry Eagle Brief Sheet,https://firstlook.org/theintercept/document/2014/10/10/national-initiative-protection-program-sentry-eagle/,Intercept,rawfile,
10/10/14,TAREX Classification Guide,https://firstlook.org/theintercept/document/2014/10/10/target-exploitation-classification-guide/,Intercept,rawfile,
10/10/14,Exceptionally Controlled Information Listing,https://firstlook.org/theintercept/document/2014/10/10/nsa-exceptionally-controlled-information-listing-12-september-2003/,Intercept,rawfile,
10/10/14,ECI WHIPGENIE Classification Guide,https://firstlook.org/theintercept/document/2014/10/10/eci-whipgenie-classification-guide/,Intercept,rawfile,
10/10/14,ECI Pawleys Classification Guide,https://firstlook.org/theintercept/document/2014/10/10/nsa-classification-guide-eci-pawleys/,Intercept,rawfile,
10/10/14,ECI Compartments,https://firstlook.org/theintercept/document/2014/10/10/eci-control-authorities/,Intercept,rawfile,
10/10/14,CNO Core Secrets Slide Slices,https://firstlook.org/theintercept/document/2014/10/10/cno-core-secrets/,Intercept,rawfile,
10/10/14,CNO Core Secrets Security Structure,https://firstlook.org/theintercept/document/2014/10/10/cno-core-secrets-security-structure/,Intercept,rawfile,
10/10/14,Computer Network Exploitation Classification Guide,https://firstlook.org/theintercept/document/2014/10/10/computer-network-exploitation-classification-guide/,Intercept,rawfile,
10/10/14,CNO Core Secrets,https://firstlook.org/theintercept/document/2014/10/10/cno-core-secrets-2/,Intercept,rawfile,
9/15/14,Treasure Map Announces a New Release,https://firstlook.org/theintercept/2014/09/15/new-zealand-gcsb-speargun-mass-surveillance/,Intercept,"New Zealand began work on a program to intercept citizens' metadata, according to NSA documents.",
9/15/14,Treasure Map Presentation,https://firstlook.org/theintercept/2014/09/15/new-zealand-gcsb-speargun-mass-surveillance/,Intercept,"New Zealand began work on a program to intercept citizens' metadata, according to NSA documents.",
9/15/14,New Zealand Visit Precis,https://firstlook.org/theintercept/2014/09/15/new-zealand-gcsb-speargun-mass-surveillance/,Intercept,"New Zealand began work on a program to intercept citizens' metadata, according to NSA documents.",
9/15/14,Key Activities In Progress,https://firstlook.org/theintercept/2014/09/15/new-zealand-gcsb-speargun-mass-surveillance/,Intercept,"New Zealand began work on a program to intercept citizens' metadata, according to NSA documents.",
9/15/14,Speargun Phase One,http://www.spiegel.de/international/world/snowden-documents-indicate-nsa-has-breached-deutsche-telekom-a-991503.html,Der Spiegel,"According to top-secret documents from the NSA and the British agency GCHQ, the intelligence agencies are seeking to map the entire Internet, including end-user devices. In pursuing that goal, they have broken into networks belonging to Deutsche Telekom.","International, World, NSA Spying Scandal, Edward Snowden, Trans-Atlantic Relations, Internet"
9/15/14,Speargun Underway,http://www.spiegel.de/international/world/snowden-documents-indicate-nsa-has-breached-deutsche-telekom-a-991503.html,Der Spiegel,"According to top-secret documents from the NSA and the British agency GCHQ, the intelligence agencies are seeking to map the entire Internet, including end-user devices. In pursuing that goal, they have broken into networks belonging to Deutsche Telekom.","International, World, NSA Spying Scandal, Edward Snowden, Trans-Atlantic Relations, Internet"
9/5/14,Satellite Teleport Knowledge,http://www.spiegel.de/international/world/snowden-documents-indicate-nsa-has-breached-deutsche-telekom-a-991503.html,Der Spiegel,"According to top-secret documents from the NSA and the British agency GCHQ, the intelligence agencies are seeking to map the entire Internet, including end-user devices. In pursuing that goal, they have broken into networks belonging to Deutsche Telekom.","International, World, NSA Spying Scandal, Edward Snowden, Trans-Atlantic Relations, Internet"
8/31/14,Collaboration in Overdrive: A CNE Success (NSA),http://www.spiegel.de/media/media-34650.pdf,Der Spiegel,rawfile,
8/31/14,Turkey and the PKK (NSA),http://www.spiegel.de/media/media-34651.pdf,Der Spiegel,rawfile,
8/31/14,NCRs with Foreign Relations Missions Become 'SUSLAs' (NSA),http://www.spiegel.de/media/media-34652.pdf,Der Spiegel,rawfile,
8/31/14,SINIO Seminar: Turkish Presidential and Parliamentary Elections (NSA),http://www.spiegel.de/media/media-34653.pdf,Der Spiegel,rawfile,
8/31/14,NSA Intelligence Relationship with Turkey - Turkish National Intelligence Organization (MIT) and the Turkish Intelligence Directorate (SIB) (NSA),http://www.spiegel.de/media/media-34654.pdf,Der Spiegel,rawfile,
8/31/14,NSAs Oldest Third Party Partnership (NSA),http://www.spiegel.de/media/media-34655.pdf,Der Spiegel,rawfile,
8/31/14,Agenda 14-15 May 2013: Brigadier general XXXXXXX YYYY - Turkish Signal Intelligence Chief (NSA),http://www.spiegel.de/media/media-34656.pdf,Der Spiegel,rawfile,
8/31/14,SINIO Series of Strategic Intelligence Issue Seminars Begins with Tough Times for Turkey (NSA),http://www.spiegel.de/media/media-34657.pdf,Der Spiegel,rawfile,
8/31/14,JORDAN-BELGIUM (GCHQ),http://www.spiegel.de/media/media-34658.pdf,Der Spiegel,rawfile,
8/31/14,Load Sharing Carriers R.O.W. (via UK) in IRAQ plus RLEs (GCHQ),http://www.spiegel.de/media/media-34659.pdf,Der Spiegel,rawfile,
8/31/14,Turkey at the G20 Pre-Meeting in London September 2-5 2009 (GCHQ),http://www.spiegel.de/media/media-34660.pdf,Der Spiegel,rawfile,
8/31/14,MHS/GCHQ Projects - Turkey Energy Company Development (GCHQ),http://www.spiegel.de/media/media-34661.pdf,Der Spiegel,rawfile,
8/31/14,Kurdistan Regional Government (GCHQ),http://www.spiegel.de/media/media-34662.pdf,Der Spiegel,rawfile,
8/31/14,SINIO Seminar: Turkey and the Kurds (NSA),http://www.spiegel.de/media/media-34649.pdf,Der Spiegel,rawfile,
8/31/14,A Two-Faced Friendship: Turkey Is 'Partner and Target' for the NSA,http://www.spiegel.de/international/world/documents-show-nsa-and-gchq-spied-on-partner-turkey-a-989011.html,Der Spiegel,Documents from the archive of whistleblower Edward Snowden reveal wide-scale spying against Turkey by America's NSA and Britain's GCHQ. They also show the US worked closely with Ankara to battle Kurdish separatists.,"International, World, NSA Spying Scandal, National Security Agency, Turkey, US Spying, United Kingdom"
8/25/14,CIA Colleagues Enthusiastically Welcome NSA Training,https://firstlook.org/theintercept/document/2014/08/25/cia-colleagues-enthusiastically-welcome-nsa-training,Intercept,rawfile,
8/25/14,Sharing Communications Metadata Across the U.S. Intelligence Community,https://firstlook.org/theintercept/document/2014/08/25/sharing-communications-metadata-across-u-s-intelligence-community,Intercept,rawfile,
8/25/14,CRISSCROSS/PROTON Point Paper,https://firstlook.org/theintercept/document/2014/08/25/crisscross-proton-point-paper,Intercept,rawfile,
8/25/14,Decision Memorandum for the DNI on ICREACH,https://firstlook.org/theintercept/document/2014/08/25/decision-memorandum-dni-icreach,Intercept,rawfile,
8/25/14,Metadata Sharing Memorandum,https://firstlook.org/theintercept/document/2014/08/25/metadata-sharing-memorandum-2005,Intercept,rawfile,
8/25/14,Sharing SIGINT metadata on ICREACH,https://firstlook.org/theintercept/document/2014/08/25/sharing-sigint-metadata-icreach,Intercept,rawfile,
8/25/14,Metadata Policy Conference,https://firstlook.org/theintercept/document/2014/08/25/metadata-policy-conference,Intercept,rawfile,
8/25/14,ICREACH Wholesale Sharing,https://firstlook.org/theintercept/document/2014/08/25/icreach-wholesale-sharing-2007,Intercept,rawfile,
8/25/14,Black Budget Extracts,https://firstlook.org/theintercept/document/2014/08/25/black-budget-extracts,Intercept,rawfile,
8/25/14,The Surveillance Engine: How the NSA Built Its Own Secret Google,https://firstlook.org/theintercept/article/2014/08/25/icreach-nsa-cia-secret-google-crisscross-proton,Intercept,The NSA is secretly using a Google-like tool to share its vast pools of surveillance data with law enforcement agencies.,
8/12/14,HACIENDA Program,http://www.heise.de/ct/artikel/NSA-GCHQ-The-HACIENDA-Program-for-Internet-Colonization-2292681.html,Heise,"Englisch version: New classified documents show country wide port scans and active mapping of vulnerable net systems by intelligence agencies. This showcases the request of the agencies to colonize the net. There is some technical remedy, proven by an new RFC - but only to a certain extent.","NSA, TCP, Überwachung"
8/5/14,GCHQ Covert Mobile Phones Policy,https://firstlook.org/theintercept/2014/08/12/nprs-dina-temple-raston-passed-cia-funded-nsa-contractor-independent-fear-monger-snowden-reporting/,Intercept,"On August 1, NPR’s Morning Edition broadcast a story by NPR national security reporter Dina Temple-Raston touting explosive claims from what she called “a tech firm based in Cambridge, Massachusetts.” That firm, Recorded Future, worked together with “a cyber expert, Mario Vuksan, the CEO of ReversingLabs,” to produce a new report that purported to vindicate the repeated>>",
8/3/14,Directorate of Terrorist Identities (DTI) Strategic Accomplishments 2013,https://firstlook.org/theintercept/article/2014/08/05/watch-commander/,Intercept,"Nearly half of the people on the U.S. government’s widely shared database of terrorist suspects are not connected to any known terrorist group, according to classified government documents obtained by The Intercept. Of the 680,000 people caught up in the government’s Terrorist Screening Database—a watchlist of “known or suspected terrorists” that is shared with local>>",
8/3/14,Israel-US 1999 Agreement,https://firstlook.org/theintercept/2014/08/04/cash-weapons-surveillance/,Intercept,"The U.S. government has long lavished overwhelming aid on Israel, providing cash, weapons and surveillance technology that play a crucial role in Israel’s attacks on its neighbors. But top secret documents provided by NSA whistleblower Edward Snowden shed substantial new light on how the U.S. and its partners directly enable Israel’s military assaults – such as>>",
7/25/14,NSA Intelligence Relationship With Israel,https://firstlook.org/theintercept/2014/08/04/cash-weapons-surveillance/,Intercept,"The U.S. government has long lavished overwhelming aid on Israel, providing cash, weapons and surveillance technology that play a crucial role in Israel’s attacks on its neighbors. But top secret documents provided by NSA whistleblower Edward Snowden shed substantial new light on how the U.S. and its partners directly enable Israel’s military assaults – such as>>",
7/23/14,Saudi Arabia Information Paper,https://firstlook.org/theintercept/2014/07/25/nsas-new-partner-spying-saudi-arabias-brutal-state-police/,Intercept,"The National Security Agency last year significantly expanded its cooperative relationship with the Saudi Ministry of Interior, one of the world’s most repressive and abusive government agencies. An April 2013 top secret memo provided by NSA whistleblower Edward Snowden details the agency’s plans “to provide direct analytic and technical support” to the Saudis on “internal>>",
7/23/14,Signals Intelligence Authority Decision Tree,http://www.washingtonpost.com/blogs/the-switch/wp/2014/07/23/privacy-watchdogs-next-target-the-least-known-but-biggest-aspect-of-nsa-surveillance/,Washington Post,An independent agency is expected to announce Wednesday that it will turn its focus to signals intelligence collection under Executive Order 12333.,Post Keywords
7/14/14,GCHQ's Joint Threat Research Intelligence Group,https://firstlook.org/theintercept/2014/07/14/manipulating-online-polls-ways-british-spies-seek-control-internet/,Intercept,"The secretive British spy agency GCHQ has developed covert tools to seed the internet with false information, including the ability to manipulate the results of online polls, artificially inflate pageview counts on web sites, “amplif[y]” sanctioned messages on YouTube, and censor video content judged to be “extremist.” The capabilities, detailed in documents provided by NSA>>",
7/9/14,Spying on Muslim-American Leaders,https://firstlook.org/theintercept/article/2014/07/09/under-surveillance/,Intercept,"The National Security Agency and FBI have covertly monitored the emails of prominent Muslim-Americans—including a political candidate and several civil rights activists, academics, and lawyers—under secretive procedures intended to target terrorists and foreign spies. According to documents provided by NSA whistleblower Edward Snowden, the list of Americans monitored by their own government includes: • Faisal>>",
6/30/14,NSA document on targeting Five Eyes countries and territories,http://apps.washingtonpost.com/g/page/world/nsa-document-on-targeting-five-eyes-countries-and-territories/1142/,Washington Post,"This document states that the National Security Agency is prohibited from conducting foreign surveillance on the ""Five Eyes"" countries, which include U.S. allies Australia, Canada, New Zealand and the United Kingdom, or their territories.","Judge John Bates, FISA court, foreign intelligence surveillance act, FISA, NSA, National Security Agency"
6/30/14,"DNI, attorney general certify surveillance targets 'reasonably believed' to be outside U.S.",http://apps.washingtonpost.com/g/page/world/dni-attorney-general-certify-surveillance-targets-will-be-reasonably-believed-to-be-outside-united-states/1134/,Washington Post,"In this document, the director of national intelligence and the attorney general certify that there are procedures in place to ensure that surveillance conducted under Section 702 of the FISA Amendments Act will be limited to targeting people ""reasonably believed to be located outside the United States."" They state that the foreign intelligence to be collected ""concerns foreign powers"" as defined by statute. The list of foreign powers is in Exhibit F.","Judge John Bates, FISA court, foreign intelligence surveillance act, FISA, NSA, National Security Agency"
6/30/14,FISA Amendments Act of 2008 Section 702 summary document,http://apps.washingtonpost.com/g/page/world/fisa-amendments-act-of-2008-section-702-summary-document/1141/,Washington Post,"This document summarizes the way the law works and describes the three types of certifications used to permit the surveillance, as well as targeting and minimization procedures. The three certification are for foreign governments, counterterrorism and WMD/proliferation.
","Judge John Bates, FISA court, foreign intelligence surveillance act, FISA, NSA, National Security Agency"
6/30/14,NSA director Keith Alexander's Affidavit Regarding Spying on Foreign Entities,http://apps.washingtonpost.com/g/page/world/nsa-directors-affidavit-on-foreign-surveillance/1135/,Washington Post,"The affidavit was submitted in support of the 2010 certification concerning foreign governments, factions and other entities. In it, Alexander states that pursuant to the certification, NSA seeks to acquire foreign intelligence information concerning foreign powers. The list of foreign powers is in Exhibit F.","Judge John Bates, FISA court, foreign intelligence surveillance act, FISA, NSA, National Security Agency"
6/30/14,FISA Judge's Order Authorizing Surveillance of Foreign Entities ,http://apps.washingtonpost.com/g/page/world/fisa-judges-order-authorizing-surveillance-of-foreign-governments-and-organizations/1132/,Washington Post,"With this order dated Aug. 19, 2010, John D. Bates, then-Chief Judge of the Foreign Intelligence Surveillance Court, approved an annual certification permitting the National Security Agency to conduct surveillance about 193 foreign governments, foreign factions, foreign-based political organizations and foreign entities such as the World Bank. Each year, a new certification must be approved by the court to permit such surveillance under Section 702 of the FISA Amendments Act.","Judge John Bates, FISA court, foreign intelligence surveillance act, FISA, NSA, National Security Agency"
